item_id,category,item_name,description,size,unit,vendor,estimated_unit_cost,cost_basis,last_updated,price_confidence,notes
PLY-075-MDO,sheet_goods,3/4 MDO Plywood,paint grade exterior panel,4 x 8 x 3/4 in,sheet,Home Depot,110,estimated,5/29/2026,low,
PLY-075-AC,sheet_goods,3/4 AC Plywood,utility plywood,4 x 8 x 3/4 in,sheet,Home Depot,65,estimated,5/29/2026,low,
PLY-050-AC,sheet_goods,1/2 AC Plywood,utility plywood,4 x 8 x 1/2 in,sheet,Home Depot,48,estimated,5/29/2026,low,
PLY-075-MEL-WHITE,sheet_goods,3/4 White Melamine,cabinet/closet panels,4 x 8 x 3/4 in,sheet,Home Depot,55,estimated,5/29/2026,low,
PLY-050-MEL-WHITE,sheet_goods,1/2 White Melamine,cabinet/closet panels,4 x 8 x 1/2 in,sheet,Home Depot,45,estimated,5/29/2026,low,
POP-1X2-8,solid_lumber,1x2 Poplar,S4S poplar board,3/4 x 1-1/2 x 8 ft,each,Home Depot,12,estimated,5/29/2026,low,
POP-1X3-8,solid_lumber,1x3 Poplar,S4S poplar board,3/4 x 2-1/2 x 8 ft,each,Home Depot,18,estimated,5/29/2026,low,
POP-1X4-8,solid_lumber,1x4 Poplar,S4S poplar board,3/4 x 3-1/2 x 8 ft,each,Home Depot,24,estimated,5/29/2026,low,
POP-1X6-8,solid_lumber,1x6 Poplar,S4S poplar board,3/4 x 5-1/2 x 8 ft,each,Home Depot,38,estimated,5/29/2026,low,
POP-1X8-8,solid_lumber,1x8 Poplar,S4S poplar board,3/4 x 7-1/4 x 8 ft,each,Home Depot,55,estimated,5/29/2026,low,
POP-1X10-8,solid_lumber,1x10 Poplar,S4S poplar board,3/4 x 9-1/4 x 8 ft,each,Home Depot,75,estimated,5/29/2026,low,
POP-1X12-8,solid_lumber,1x12 Poplar,S4S poplar board,3/4 x 11-1/4 x 8 ft,each,Home Depot,95,estimated,5/29/2026,low,
PINE-1X2-8,solid_lumber,1x2 Select Pine,select pine board,3/4 x 1-1/2 x 8 ft,each,Home Depot,9,estimated,5/29/2026,low,
PINE-1X3-8,solid_lumber,1x3 Select Pine,select pine board,3/4 x 2-1/2 x 8 ft,each,Home Depot,13,estimated,5/29/2026,low,
PINE-1X4-8,solid_lumber,1x4 Select Pine,select pine board,3/4 x 3-1/2 x 8 ft,each,Home Depot,18,estimated,5/29/2026,low,
PINE-1X6-8,solid_lumber,1x6 Select Pine,select pine board,3/4 x 5-1/2 x 8 ft,each,Home Depot,28,estimated,5/29/2026,low,
OAK-1X2-8,solid_lumber,1x2 Red Oak,S4S oak board,3/4 x 1-1/2 x 8 ft,each,Home Depot,22,estimated,5/29/2026,low,
OAK-1X3-8,solid_lumber,1x3 Red Oak,S4S oak board,3/4 x 2-1/2 x 8 ft,each,Home Depot,34,estimated,5/29/2026,low,
OAK-1X4-8,solid_lumber,1x4 Red Oak,S4S oak board,3/4 x 3-1/2 x 8 ft,each,Home Depot,48,estimated,5/29/2026,low,
HINGE-SC-FACEFRAME,hardware,Soft Close Concealed Hinge,common woodworking/cabinet supply,standard,each,Home Depot,3.5,estimated,5/29/2026,low,
HINGE-SC-FRAMLESS,hardware,Frameless Soft Close Hinge,common woodworking/cabinet supply,standard,each,Home Depot,4,estimated,5/29/2026,low,
HINGE-PLATE,hardware,Hinge Mounting Plate,common woodworking/cabinet supply,standard,each,Home Depot,1.25,estimated,5/29/2026,low,
SLIDE-12-SC,hardware,12 inch Soft Close Drawer Slide Pair,common woodworking/cabinet supply,12 in,pair,Home Depot,16,estimated,5/29/2026,low,
SLIDE-14-SC,hardware,14 inch Soft Close Drawer Slide Pair,common woodworking/cabinet supply,14 in,pair,Home Depot,17,estimated,5/29/2026,low,
SLIDE-16-SC,hardware,16 inch Soft Close Drawer Slide Pair,common woodworking/cabinet supply,16 in,pair,Home Depot,18,estimated,5/29/2026,low,
SLIDE-18-SC,hardware,18 inch Soft Close Drawer Slide Pair,common woodworking/cabinet supply,18 in,pair,Home Depot,20,estimated,5/29/2026,low,
SLIDE-20-SC,hardware,20 inch Soft Close Drawer Slide Pair,common woodworking/cabinet supply,20 in,pair,Home Depot,22,estimated,5/29/2026,low,
SLIDE-22-SC,hardware,22 inch Soft Close Drawer Slide Pair,common woodworking/cabinet supply,22 in,pair,Home Depot,24,estimated,5/29/2026,low,
PULL-3IN-BASIC,hardware,Basic Cabinet Pull,common woodworking/cabinet supply,3 in,each,Home Depot,4,estimated,5/29/2026,low,
PULL-5IN-BASIC,hardware,Basic Cabinet Pull,common woodworking/cabinet supply,5 in,each,Home Depot,5,estimated,5/29/2026,low,
KNOB-BASIC,hardware,Basic Cabinet Knob,common woodworking/cabinet supply,standard,each,Home Depot,3,estimated,5/29/2026,low,
SHELFPIN-100,hardware,Shelf Pins,common woodworking/cabinet supply,100 pack,pack,Home Depot,10,estimated,5/29/2026,low,
LEVELER-CAB,hardware,Cabinet Leveler,common woodworking/cabinet supply,standard,each,Home Depot,3,estimated,5/29/2026,low,
EDGE-MAPLE-075,supplies,Maple Edge Banding,common woodworking/cabinet supply,3/4 in,linear_foot,Home Depot,0.35,estimated,5/29/2026,low,
EDGE-BIRCH-075,supplies,Birch Edge Banding,common woodworking/cabinet supply,3/4 in,linear_foot,Home Depot,0.3,estimated,5/29/2026,low,
EDGE-OAK-075,supplies,Oak Edge Banding,common woodworking/cabinet supply,3/4 in,linear_foot,Home Depot,0.4,estimated,5/29/2026,low,
EDGE-WHITE-075,supplies,White Melamine Edge Banding,common woodworking/cabinet supply,3/4 in,linear_foot,Home Depot,0.25,estimated,5/29/2026,low,
GLUE-TB3-16,supplies,Wood Glue,common woodworking/cabinet supply,16 oz,bottle,Home Depot,9,estimated,5/29/2026,low,
GLUE-TB3-GAL,supplies,Wood Glue,common woodworking/cabinet supply,1 gallon,jug,Home Depot,35,estimated,5/29/2026,low,
CAULK-PAINTABLE,supplies,Paintable Caulk,common woodworking/cabinet supply,10 oz,tube,Home Depot,4,estimated,5/29/2026,low,
FILLER-WOOD,supplies,Wood Filler,common woodworking/cabinet supply,8 oz,tub,Home Depot,8,estimated,5/29/2026,low,
BONDO-QT,supplies,Bondo Wood Filler,common woodworking/cabinet supply,quart,can,Home Depot,18,estimated,5/29/2026,low,
PUTTY-KNIFE,supplies,Putty Knife,common woodworking/cabinet supply,standard,each,Home Depot,6,estimated,5/29/2026,low,
SCREW-POCKET-125,supplies,Pocket Screws,common woodworking/cabinet supply,1-1/4 in 100 pack,box,Home Depot,8,estimated,5/29/2026,low,
SCREW-CAB-250,supplies,Cabinet Screws,common woodworking/cabinet supply,2-1/2 in 100 pack,box,Home Depot,14,estimated,5/29/2026,low,
SCREW-GRKRSS-125,supplies,Trim Screws,common woodworking/cabinet supply,1-1/4 in,box,Home Depot,12,estimated,5/29/2026,low,
BRAD-18GA-125,supplies,18 Gauge Brad Nails,common woodworking/cabinet supply,1-1/4 in,box,Home Depot,13,estimated,5/29/2026,low,
BRAD-18GA-200,supplies,18 Gauge Brad Nails,common woodworking/cabinet supply,2 in,box,Home Depot,15,estimated,5/29/2026,low,
STAPLE-14,supplies,Narrow Crown Staples,common woodworking/cabinet supply,1-1/4 in,box,Home Depot,18,estimated,5/29/2026,low,
SAND-80-5,supplies,Sanding Discs 80 Grit,common woodworking/cabinet supply,5 in multi-pack,pack,Home Depot,10,estimated,5/29/2026,low,
SAND-120-5,supplies,Sanding Discs 120 Grit,common woodworking/cabinet supply,5 in multi-pack,pack,Home Depot,10,estimated,5/29/2026,low,
SAND-180-5,supplies,Sanding Discs 180 Grit,common woodworking/cabinet supply,5 in multi-pack,pack,Home Depot,10,estimated,5/29/2026,low,
SAND-220-5,supplies,Sanding Discs 220 Grit,common woodworking/cabinet supply,5 in multi-pack,pack,Home Depot,10,estimated,5/29/2026,low,
SAND-SPONGE-MED,supplies,Sanding Sponge Medium,common woodworking/cabinet supply,standard,each,Home Depot,5,estimated,5/29/2026,low,
PRIMER-GAL,supplies,Primer,common woodworking/cabinet supply,1 gallon,gallon,Home Depot,30,estimated,5/29/2026,low,
PAINT-CAB-GAL,supplies,Cabinet Paint,common woodworking/cabinet supply,1 gallon,gallon,Home Depot,55,estimated,5/29/2026,low,
POLY-WB-QT,supplies,Water Based Polyurethane,common woodworking/cabinet supply,1 quart,quart,Home Depot,25,estimated,5/29/2026,low,
STAIN-QT,supplies,Wood Stain,common woodworking/cabinet supply,1 quart,quart,Home Depot,15,estimated,5/29/2026,low,
DENATURED-ALC,supplies,Denatured Alcohol Substitute,common woodworking/cabinet supply,1 quart,quart,Home Depot,9,estimated,5/29/2026,low,
MINERAL-SPIRITS,supplies,Mineral Spirits,common woodworking/cabinet supply,1 quart,quart,Home Depot,10,estimated,5/29/2026,low,
TACK-CLOTH,supplies,Tack Cloth,common woodworking/cabinet supply,pack,pack,Home Depot,5,estimated,5/29/2026,low,
RAG-BOX,supplies,Shop Rags,common woodworking/cabinet supply,box,box,Home Depot,18,estimated,5/29/2026,low,
TAPE-BLUE-1.5,supplies,Painter Tape,common woodworking/cabinet supply,1.5 in,roll,Home Depot,8,estimated,5/29/2026,low,
MASK-PLASTIC,supplies,Masking Plastic,common woodworking/cabinet supply,roll,roll,Home Depot,18,estimated,5/29/2026,low,
MASK-PAPER,supplies,Masking Paper,common woodworking/cabinet supply,roll,roll,Home Depot,12,estimated,5/29/2026,low,
FOAM-ROLLER,supplies,Foam Roller Covers,common woodworking/cabinet supply,pack,pack,Home Depot,7,estimated,5/29/2026,low,
BRUSH-2IN,supplies,Paint Brush,common woodworking/cabinet supply,2 in,each,Home Depot,10,estimated,5/29/2026,low,
SPRAY-TIP-310,supplies,Airless Spray Tip,common woodworking/cabinet supply,310,each,Home Depot,35,estimated,5/29/2026,low,
SPRAY-TIP-410,supplies,Airless Spray Tip,common woodworking/cabinet supply,410,each,Home Depot,35,estimated,5/29/2026,low,
RESP-FILTER,supplies,Respirator Filters,common woodworking/cabinet supply,pair,pair,Home Depot,18,estimated,5/29/2026,low,
NITRILE-GLOVES,supplies,Nitrile Gloves,common woodworking/cabinet supply,box,box,Home Depot,15,estimated,5/29/2026,low,
SAFETY-GLASSES,supplies,Safety Glasses,common woodworking/cabinet supply,standard,each,Home Depot,5,estimated,5/29/2026,low,
DUST-MASK,supplies,Dust Mask,common woodworking/cabinet supply,pack,pack,Home Depot,12,estimated,5/29/2026,low,
CLAMP-24,supplies,Bar Clamp,common woodworking/cabinet supply,24 in,each,Home Depot,18,estimated,5/29/2026,low,
CLAMP-36,supplies,Bar Clamp,common woodworking/cabinet supply,36 in,each,Home Depot,24,estimated,5/29/2026,low,
CLAMP-48,supplies,Bar Clamp,common woodworking/cabinet supply,48 in,each,Home Depot,32,estimated,5/29/2026,low,
CLAMP-FACE,supplies,Face Clamp,common woodworking/cabinet supply,standard,each,Home Depot,16,estimated,5/29/2026,low,
KREG-JIG-BIT,supplies,Pocket Hole Drill Bit,common woodworking/cabinet supply,standard,each,Home Depot,18,estimated,5/29/2026,low,
ROUTER-BIT-FLUSH,supplies,Flush Trim Router Bit,common woodworking/cabinet supply,1/2 in,each,Home Depot,28,estimated,5/29/2026,low,
ROUTER-BIT-ROUND,supplies,Roundover Router Bit,common woodworking/cabinet supply,1/4 in,each,Home Depot,24,estimated,5/29/2026,low,
CNC-BIT-025-COMP,supplies,Compression CNC Bit,common woodworking/cabinet supply,1/4 in,each,Home Depot,45,estimated,5/29/2026,low,
CNC-BIT-0125-EM,supplies,End Mill CNC Bit,common woodworking/cabinet supply,1/8 in,each,Home Depot,25,estimated,5/29/2026,low,
CNC-BIT-V60,supplies,V Bit,common woodworking/cabinet supply,60 degree,each,Home Depot,22,estimated,5/29/2026,low,
SAWBLADE-10-60T,supplies,Table Saw Blade,common woodworking/cabinet supply,10 in 60T,each,Home Depot,45,estimated,5/29/2026,low,
SAWBLADE-10-80T,supplies,Fine Finish Saw Blade,common woodworking/cabinet supply,10 in 80T,each,Home Depot,65,estimated,5/29/2026,low,
UTILITY-BLADES,supplies,Utility Blades,common woodworking/cabinet supply,pack,pack,Home Depot,8,estimated,5/29/2026,low,
PENCIL-CARP,supplies,Carpenter Pencils,common woodworking/cabinet supply,pack,pack,Home Depot,4,estimated,5/29/2026,low,
TAPE-MEASURE,supplies,Tape Measure,common woodworking/cabinet supply,25 ft,each,Home Depot,15,estimated,5/29/2026,low,
